given_names,family_name,orcid,country,taxa
Pere,Abello,0000-0001-6034-2465,,"Acanthonyx lunulatus, Alpheidae, Anamathia rissoana, Anomura, Aristeidae, Automate branchialis, Bathynectes maravigna, Bathynectes piperitus, Bivalvia, Brachyura, Calappa granulata, Calappidae, Carcinus maenas, Caridea, Charybdis feriata, Chela, Crustacea, Decapoda, Donacidae, Donax trunculus, Dorvilleidae, Dyspanopeus sayi, Epialtinae, Epibionts, Epibiosis, Ergasticus clouei, Eryonidea, Geryonidae, Grapsidae, Herbstia condyliata, Heterotremata, Hymenopenaeus debilis, Idotea, Idotea metallica, Idoteidae, Inachidae, Inachinae, Inachus aguiarii, Inachus communissimus, Inachus thoracicus, Iphitime, Isopoda, L. depurator, Liocarcinus depurator, Lissa chiragra, Lithodes ferox, Lithodidae, Longipes, Lophogaster spinosus, Lophogastrida, Macropipus tuberculatus, Macropodia, Macropodia longipes, Maja brachydactyla, Majidae, Majoidea, Mauritanicus, Monodaeus couchii, Munida, Nephropidae, Nephrops, Nephrops norvegicus, P. sivado, Paguridae, Pagurus mbizi, Palaemon adspersus, Palinuridae, Palinurus, Palinurus elephas, Palinurus mauritanicus, Palinustus, Pandalidae, Panopeidae, Parapenaeus longirostris, Parthenope macrochelos, Parthenopidae, Pasiphaea multidentata, Pasiphaeidae, Penaeoidea, Percnon gibbesi, Pilumnidae, Pisidae, Pisinae, Plagusiinae, Plesionika, Polychaeta, Polycheles typhlops, Polychelidae, Portunidae, Processa edulis, Pterygosquilla armata capensis, Puerulus, Puffinus mauretanicus, Scyllaridae, Scyllarus arctus, Scyllarus pygmaeus, Solenocera membranacea, Solenoceridae, Solenocerinae, Squilla mantis, Squillidae, Stereomastis sculpta, Stomatopoda, Xanthidae, Xanthoidea"
Reham,Abo-Shnaf,0000-0002-4033-9063,Egypt,"Acari, Lasioseius, Lasioseius phytoseioides, Mesostigmata, Phytoseiidae, Platyseius, Proctolaelaps, Rhodacaridae, Ricinus communis"
Joaquín,Abolafia Cobaleda,0000-0001-9640-236X,,"A. andalusicus, A. arenicola, A. dudichi, A. iranicus, Ablechroiulus, Ablechroiulus spelaeus, Acrobeles, Acrobeloides, Acrolobus, Anatonchus, Aphelenchida, Aporcelaimellus, Aporcelaimidae, Aprutides, Araeolaimida, Aulolaimus, Axonchoides, Bathyodontina, Bathyodontus mirus, Belondiridae, Blastocladiales, Bunobus, Bursilla, C. hamatus, C. harpagonis, C. maginensis, Catenaria vermicola, Cephalobidae, Cervidellus, Chambersiellidae, Chiloplacus, Chiloplectus loricatus, Chromadorida, Crassolabium, Crassolabium persicum, Cruznema, Desmodorida, Diploscapter, Discolaimus, Dolichorhabditis tipulae, Dorylaimida, Dorylaimoidea, Dorylaimus, Ecumenicus, Enoplida, Epacrolaimus, Eucephalobus, Halicephalobus, Halicephalobus persicus, Heterorhabditis, Hortulana, Hungarica, Ironidae, Ironus, Labronema vulvapapillatum, Labronemella labiata, M. bastiani, M. carmenae, Macrolaimus crucis, Mesocriconema xenoplax, Mesodorylaimus, Mesorhabditis, Monhysterida, Mononchida, Nematoda, Neodiplogasteridae, Nordiidae, Nothacrobeles, Nygolaimus, Opisthodorylaimus sylphoides, P. nigra, Panagrellus ulmi, Panagrolaimidae, Panagrolaimus, Paracrobeles deserticola, Pelodera, Pelodera strongyloides, Peloderidae, Plectidae, Plectus, Prodesmodora zullinii, Prodorylaimus, Protodorylaimus dalmassoi, Protorhabditis, Pseudacrobeles, Pseudacrobeles (Bunobus) rotundilabiatus, Pseudacrobeles elongatus, Pungentus, Qudsianematidae, Rhabditida, Rhabditidae, Rhabditina, Rhabditoidea, Stegelletina, Stegelletina coprophila, Thonus, Triplonchida, Tylencholaimidae, Tylencholaimus gallaicus, Tylencholaimus nagauriensis, Xiphinema, Zeldia"
Maged,Abou-E-Enain,0000-0002-8695-925X,Egypt,""
Ann,Abozeid,0000-0003-1282-0068,Egypt,"Arabidopsis thaliana, Astragalus, Astragalus mongholicus, Catharanthus roseus, Fabaceae, Panax ginseng, Panax quinquefolius, Trigonella"
Carlos,Abrahão,0000-0002-5952-7929,Brazil,"Acari, Amazonia, Amblyomma goeldii, Ixodidae, Serpentes, Viperidae"
Alexei,Abramov,0000-0001-9709-4469,Russian Federation,"Acariformes, Artiodactyla, Baculum, Blarinella griselda, Bovidae, Carnivora, Ceratophyllidae, Chiropodomys gliroides, Chiroptera, Cricetidae, Crocidura, Dacnomys, Diatomyidae, Elephantidae, Felidae, Gulo gulo, Hapalomys delacouri, Harpiola, Lagomorpha, Laonastes aenigmamus, Leopoldamys, Leporidae, M. melampus, M. nivalis, M. putorius, Mammalia, Mammuthus primigenius, Marsupialia, Martes, Martes flavigula, Martes foina, Martes martes, Martes melampus, Martes zibellina, Meles, Meles canescens, Meles leucurus, Meles meles, Mellivora capensis, Micromys minutus, Muridae, Mustela, Mustela altaica, Mustela erminea, Mustela eversmanii, Mustela itatsi, Mustela kathiah, Mustela lutreola, Mustela lutreolina, Mustela nivalis, Mustela putorius, Mustela sibirica, Mustela strigidorsa, Mustelidae, Mydaus, Neotetracus sinensis, Nesolagus, Nesolagus timminsi, Niviventer, Odobenus rosmarus laptevi, Panthera pardus, Panthera pardus ciscaucasica, Panthera tigris, Paraceras, Perissodactyla, Pinnipedia, Platacanthomyidae, Proboscidea, Procapra przewalskii, Pseudoryx nghetinhensis, Pteromys volans, Rodentia, Sarcoptoidea, Sciurus vulgaris orientis, Siphonaptera, Sorex, Soricidae, Symbiotes, Typhlomys chapensis, Typhlomys cinereus, Ursidae, Ursus arctos, Vespertilionidae, Vormela peregusna, Vulpes vulpes"
Gonzalo,Abril Ramirez,0000-0001-5962-4262,Colombia,"Antioquia, Collaria columbiensis carvalho, Hemiptera, Heteroptera, Miridae"
Mohammad,Abtahi,0000-0001-5862-5060,,"Anopheles stephensi, Coleoptera, Culicidae, Cyprinus carpio, Diptera, Liza aurata, Oedemera podagrariae ventralis, Oedemeridae, Satureja bachtiarica, Simuliidae"
Jelena,Ačanski,0000-0003-1745-6410,Serbia,"Chrysotoxum, Chrysotoxum festivum, Diptera, Merodon, Merodon aureus, Merodon avidus, Merodon luteomaculatus, Merodon ruficornis, Pipiza, Pipizini, Syrphidae"
Carmen,Acedo,0000-0001-6692-6509,Spain,"Ajuga hampeana, Anthina flammea, Asteraceae, Bromeae, Bromus, Bromus erectus, C. chabertii, C. inflata, C. leersii, Carex, Carex diandra, Carex divulsa, Carex hirta, Carex leersii, Carex muricata, Carex rostrata, Cyperaceae, Dactylis, Doronicum pubescens, Draba, Draba hispanica subsp. lebrunii, Elegans, Fagaceae, Festuca eskia, Festuca paniculata, Hippuris vulgaris, Hispanica, Labiatae, Lazaroa, O. elegans, Oreochloa blanka, Poaceae, Polygalaceae, Quercus, Serapias perez-chiscanoi, Sesleria, Taxus baccata, Tragopogon"
Aldemar,Acevedo,0000-0002-4729-2093,,"Amphibia, Anura, Atelopus, Batrachochytrium dendrobatidis, Bufonidae, Coleoptera, Gastrotheca ovifera, Kinosternidae, Kinosternon scorpioides scorpioides, Lepidoptera, Nasuella olivacea, Papilionoidea, Plethodontidae, Pristimantis, Procyonidae, Scarabaeidae, Scarabaeinae, Testudines, Tremarctos ornatus, Ursidae"
Paras,Acharya,0000-0003-4077-9568,,""
Aline Angelina,Acosta,0000-0002-1984-2414,,""
Andrés Rymel,Acosta Galvis,0000-0003-1057-1029,Colombia,"Allobates, Amazonia colombiana, Amphibia, Anura, Atelopus, Boana wavrini, Bolitoglossa, Bufonidae, Caudata, Centrolenidae, Colostethus, Dendrobatidae, Gymnophiona, Hyalinobatrachium fleischmanni, Hylidae, Hypsiboas geographicus, Leptodactylus validus, Magdalena medio, Oscaecilia polyzona, Pipa, Pipidae, Plethodontidae, Pristimantis, Pristimantis bogotensis, Rana palmipes, Saprolegnia, Tetrapoda, Typhlonectes compressicauda, Typhlonectes natans, Typhlonectidae"
Carolina,Acosta Hospitaleche,0000-0002-2614-1448,Argentina,"Anhingidae, Aves, Carcharias, Cyanoliseus, Elasmobranchii, Eretiscus tonnii, Eudromia, Gaviiformes, Macranhinga paranensis, Neornithes, Odontaspididae, Palaeeudyptes, Palaeeudyptes gunnari, Palaeeudyptes klekowskii, Palaeospheniscus, Palaeospheniscus biloculata, Palaeospheniscus patagonicus, Pelagornithidae, Pelecaniformes, Psittaciformes, Pygoscelis, Pygoscelis calderensis, Spheniscidae, Sphenisciformes, Stercorarius antarcticus lonnbergi, Stercorarius maccormicki, Tinamiformes"
Fabian,Acuña,0000-0003-3075-2492,Argentina,""
Grant,Adams,0000-0003-0297-8347,,"Chrysaora plocamia, Euspondylus, Gymnophthalmidae, Squamata"
Byron,Adams,0000-0002-7815-3352,,"Acari, Acugutturidae, Ancylostomatidae, Aphelenchida, Belonolaimus, Brevipalpus phoenicis, Cephalobina, Chlorella, Chlorophyta, Coleoptera, Collembola, Colletotrichum trifolii, Curculionidae, Diptera, Enterobacteriaceae, Francisella tularensis, Galleria mellonella, Halicephalobus gingivalis, Helicosporidium, Helicosporidium spp, Heterorhabditidae, Heterorhabditis, Heterorhabditis bacteriophora, Heterorhabditis floridensis, Heterorhabditis georgiana, Heterorhabditis mexicana, Heterorhabditis spp, Hirsutella thompsonii, Liolaemus, Meloidogyne, Muscidae, Nemata, Nematoda, Panagrolaimoidea, Photorhabdus, Photorhabdus luminescens, Photorhabdus spp, Photorhbdus luminescens, Plectus, Plectus murrayi, Potyviridae, Potyvirus, Pratylenchus thornei, Prostigmata, Rhabditida, Rhabditidae, S. riobrave, Scottnema lindsayae, Simuliidae, Squamata, Steinernema, Steinernema abbasi, Steinernema carpocapsae, Steinernema carpocapsae nematodes, Steinernema rarum, Steinernema yirgalemense, Steinernematidae, Stereotydeus spp, Tardigrada, Tenuipalpidae, Tropiduridae, Uncinaria, Victoria, Xiphinema"
Maja,Adamska,0000-0002-4223-8450,,"Amphimedon queenslandica, Halisarca dujardini, Homoscleromorpha, Oscarella, Oscarellidae, Porifera, Sycon ciliatum"
Adebiyi Abdulhakeem,Adeniran,0000-0001-8911-049X,Nigeria,"Myrmecophilidae, Myrmecophilus (Myrmecophilina), Trichomonas vaginalis"
Sezai,Adil,0000-0002-3571-7920,Turkey,""
Dominique,Adriaens,0000-0003-3610-2773,,"Alloinematidae, Anaspidoglanis akiri, Ancistrus, Ancistrus cf. triradiatus, Anguilliformes, Bathyergidae, Callichthyidae, Calopterygidae, Channallabes apus, Channallabes sanghaensis, Clariallabes longicauda, Clariallabes melas, Clarias, Clarias gariepinus, Clariidae, Claroteidae, Congridae, Corrigendum, Corydoras aeneus, Dolichallabes microphthalmus, Dunckerocampus dactyliophorus, Fukomys, Gariepinus, Geospiza, Geospiza fortis, Gerbillinae, Glis glis, Gymnallabes nops, Gymnallabes typus, Heterenchelyidae, Hippocampus capensis, Hippocampus reidi, Hoplunnis punctata, Hyalella azteca, Laonastes aenigmamus, Loricariidae, Loricarioidea, Meriones meridianus, Mochokidae, Moringua edwardsi, Moringuidae, Morone saxatilis, Muridae, Nematoda, Nettastomatidae, Ophichthidae, Parauchenoglanis, Perciformes, Pisodonophis boro, Platyallabes tihoni, Platyclarias machadoi, Pomacentridae, Pterygoplichthys disjunctivus, Pythonichthys macrurus, Rhabditophanes, Rodentia, Salmo letnica, Salmonidae, Siluriformes, Siluriformes: clariidae, Sparus aurata, Syngnathidae, Syngnathus rostellatus, Teleostei, Xenopus, Zygoptera"
Edson,Adriano,0000-0002-6903-9531,Brazil,"Apicomplexa, Arapaima gigas, Arapaimidae, Austrodiplostomum, Aves, Brachylaima mazzantii, Brevimulticaecum, Brycon hilarii, Brycon orthotaenia, Callichthyidae, Characidae, Characiformes, Columbidae, Columbina talpacoti, Corydoras melini, Cuneus, Eimeria, Eimeria curvata, Eimeriidae, Haemoproteus columbae, Henneguya, Henneguya arapaima, Henneguya azevedoi, Henneguya caudalongula, Henneguya cuniculator, Henneguya curvata, Henneguya eirasi, Henneguya pellucida, Henneguya piaractus, Henneguya rotunda, Henneguya visibilis, Heterocheilidae, Hoplias malabaricus, Leporinus elongatus, Leporinus obtusidens, Myxidium, Myxidium amazonense, Myxobolidae, Myxobolus, Myxobolus absonus, Myxobolus cordeiroi, Myxobolus cuneus, Myxobolus curimatae, Myxobolus filamentum, Myxobolus hilarii, Myxobolus niger, Myxobolus oliveirai, Myxobolus porofilus, Myxosporea, Myxosporea parasitizing pimelodus maculatus, Myxozoa, Nematoda, Piaractus mesopotamicus, Pimelodidae, Prochilodontidae, Prochilodus costatus, Prochilodus lineatus, Pseudoplatystoma, Pseudoplatystoma corruscans, Salminus brasiliensis, Scardafella squammata, Serrasalminae, Serrasalmus spilopleura, Siluriformes, Teleostei, Trematoda, Zenaida auriculata, Zungaro jahu"
Carlos,Afonso,0000-0002-9084-2177,Portugal,""
Ana Catarina,Afonso Silva,0000-0002-8808-1452,Portugal,Carlia skinks
Basant,Agarwala,0000-0002-7282-8849,,"(Fabricius, Abryna regispetri, Agamidae, Anomalosiphum, Aphididae, Aphidoidea, Aphidophagous syrphids, Aphis gossypii, Aristobia reticulator, Calotes emma, Cerambycidae, Coccinellidae, Coleoptera, Harmonia axyridis, Harmonia dimidiata, Hemiptera, Homoptera, Insecta, Lamiinae, Lipaphis erysimi, Lipaphis pseudobrassicae, Menochilus sexmaculatus, P. caladii, Pentalonia nigronervosa, Pteropliini, Scymnus, Squamata, Tripura"
Ramesh,Aggarwal,0000-0001-7486-4950,,"Acanthamoeba, Anura, Arthrobacter flavus, Coffea canephora, Coffea congensis, Crocodylus palustris, Duttaphrynus melanostictus, Gavialis gangeticus, Lepidochelys olivacea, Nasikabatrachidae, Nasikabatrachus sahyadrensis, Natrix piscator, Psilanthus, Thraustochytrium gaertnerium, Yersinia pestis"
Heda,Agić,0000-0002-4002-4141,United States of America,Acritarchs
jean-François,Agnèse,0000-0002-6883-551X,France,"Ancyrocephalidae, Aphyosemion, Aphyosemion calliurum, Aplocheiloidei, Barbus, C. anguillaris, Carcharhinus, Chromaphyosemion, Chrysichthys auratus, Chrysichthys nigrodigitatus, Cichlidae, Cichlidogyrus, Clarias, Clarias gariepinus, Clariidae, Claroteidae, Coptodon, Cyprinidae, Cyprinodontidae, Cyprinodontiformes, Dactylogyridae, Dactylogyridea, Dicentrarchus labrax, Hemisynodontis, Heterobranchus, Heterobranchus longifilis, L. saladensis, Labeo, Ligophorus uruguayense, Mochokidae, Monogenea, Mormyridae, Mugil liza, Mugilidae, Nothobranchiidae, Oreochromis, Oreochromis esculentus, Oreochromis leucostictus, Oreochromis niloticus, Osteichthyes, Perca fluviatilis, Sardinella aurita, Sarotherodon, Sarotherodon melanotheron, Sauria, Scriptaphyosemion geryi, Siluriformes, Synodontis, Teleostei, Tilapia, Tilapia guineensis, Tilapia zillii"
Donat ,Agosti,0000-0001-9286-1200,,"Cataglyphis, Cataglyphis agostii"
Leandro,Agra,0000-0002-8721-2019,Brazil,"Arcyria, Arecaceae, Ascomycota, Cactaceae, Cannonia australis, Cereus, Coleoptera, Lycogala epidendrum, Myxomycetes, Oligonema, Perichaena, Pilosocereus, Squamosus, Staphylinidae, Trichiaceae, Trichiales, Xylariaceae"
Maria,Agra,0000-0002-8888-0975,,"Asclepiadaceae, Cactaceae, Chapada da, Diamantina, Gonolobeae, Leptostemonum, Loganiaceae, Matelea roulinioides, Micracantha, Rollinia, Solanaceae, Solanum"
Maria Teresa,Aguado Molina,0000-0002-5583-7516,Spain,"Aciculata, Alcyonosyllis, Amastigos, Annelida, Aricidea, Branchiosyllis, Calamyzidae, Capitellidae, Chrysopetalidae, Chrysopetalum, Coiba, Demospongiae, Eurysyllis, Eusyllinae, Eusyllis, Haplosyllides, Inermosyllis, Karroonsyllis, Magelona, Magelonidae, Nautiliniellidae, O. gymnocephala, Odontosyllis, Opisthosyllis, Paraonidae, Parasphaerosyllis, Petrosia sponge, Phyllodocida, Phyllodocidae, Pionosyllis, Pisione, Pisionidae, Plakosyllis, Polychaeta, Porifera, Rhopalosyllis, Snellius, Sphaerodoridae, Syllidae, Syllinae, Syllis nipponica, Trypanosyllis, Trypanosyllis (Trypanobia), Xenosyllis"
Antonio,Agüera,0000-0003-0076-1849,Spain,"Arcoidea, Asterias amurensis, Asterias rubens, Asteroidea, B. grayana, Barbatia, Bivalvia, Echinodermata, Laternula elliptica, Odontaster validus, Scomberesox saurus saurus"
Carlos,Aguiar,0000-0001-8643-7112,,"Antirrhinum lopesianum, Asteraceae, Festuca, Festuca jubata, Huperzia, Inuleae, Lycopodiaceae, Poaceae, Pulicaria, Ranunculaceae, Santolina semidentata, Scrophulariaceae"
Margarita,Aguilera,0000-0002-3204-9787,,"Alkalibacillus, Aspergillus niger, Bacillus subtilis, Chromohalobacter nigrandesensis, Chromohalobacter salarius, Clostridium difficile, Clostridium perfringens, Halomicrobium, Halomonas, Halorubrum, Halorubrum tebenquichense, Lactobacillus plantarum, Marinobacter, Marinobacter lacisalsi, Microbiota, Paenibacillus jamilae, Ruminococcus gnavus, Salicola salis, Virgibacillus olivae"
Gastón,Aguilera,0000-0002-5486-2787,,"Siluriformes, Trichomycteridae, Trichomycterus"
Dora,Aguin-Pombo,0000-0002-4471-7105,,"A. madeirensis, A. wahlbergi, Alebra, Alebra albostriella, Arachnida, Arboridia erecta, Arboridia parvula, Asianidia, Asymmetrasca decedens, Auchenorrhyncha, Castanea sativa, Chthoniidae, Cicadellidae, Cicadomorpha, Coleoptera, Conosimus, Curculionidae, Cydia, Cydia splendana, Cynipoidea, Empoasca, Euscelidius variegatus, Formicidae, Fulgoromorpha, Fulgoromorpha (Hemiptera), Glossosomatidae, Hauptidia lapidicola, Hauptidia maroccana, Hemiptera, Homoptera, Hylastes attenuatus, Hymenoptera, Insecta, Lepidoptera, Paraliochthonius, Scolytidae, Sophonia orientalis, Staphylinidae, Synagapetus, Tortricidae, Trichoptera, Tychiini, Typhlocybinae, Wagneriala"
Gabriel,Aguirre Fernández,0000-0002-9964-1646,Switzerland,"Ariidae, Cetacea, Delphinidae, Mammalia, Odontoceti, Protoblobicephala mexicana, Protoglobicephala mexicana"
Ma Leopoldina,Aguirre-Macedo,0000-0002-3910-8305,Mexico,"Acanthostomidae, Acanthostomum, Allocreadiidae, Ancyrocephalinae, Argulus, Argulus yucatanus, Ariidae, Ariopsis assimilis, Ascarophis ayalai, Ascocotyle, Astyanax, Astyanax fasciatus, Auriculostoma astyanace, Cestoda, Characidae, Characiformes, Checkered, Cichlasoma trimaculatum, Cichlasoma urophthalmus, Cichlidae, Cichlidogyrus sclerosus, Crassostrea gigas, Crassostrea virginica, Crepidostomum, Cryptogonimidae, Cucullanidae, Cucullanus dodsworthi, Cyclopsetta chittendeni, Cystidicolidae, Dactylogyridae, Daniconematidae, Dicyemida, Dicyemidae, Digenea, Diplectanidae, Diplectanocotyla megalopis, Diplectanocotyla yamaguti, Dormitator latifrons, Eleotridae, Epinephelus morio, Farfantepenaeus duorarum, Gussevia herotilapiae, Haploporidae, Heterophyidae, Lutjanidae, Lutjanus griseus, Megalops atlanticus, Mesodesma mactroides, Mexiconema cichlasomae, Monogenea, Monogenoidea, Nematoda, Octopodidae, Octopus maya, Oncomegas wageneri, Opisthorchioidea, Oreochromis niloticus, Perciformes, Perkinsus marinus, Philometra, Philometra (Ranjhinema) salgadoi, Philometra salgadoi, Philometridae, Pseudacanthostomum panamense, Pseudorhabdosynochus yucatanensis, Sciades guatemalensis, Sciadicleithrum, Serranidae, Spheroides testudineus, Sphoeroides testudineus, Syacium gunteri, Teleostei, Tetraodontiformes, Timoniella, Trematoda, Trypanorhyncha, Vieja maculicauda"
